transaction_amount,user_history_returns,item_category_risk,delivery_distance_km,is_cod,will_return
5930.831723286756,1,0.2840434941975176,291.26179147662594,1,0
14285.357442943785,3,0.161254913456093,475.5591122888067,1,0
11113.912156265375,2,0.8359210931495371,78.32990277257595,0,0
9180.548020857032,1,0.5243285503803227,496.814674679891,1,1
2762.2702864153293,3,0.41739357701019175,323.91506865499,1,1
2761.9205448749385,0,0.5280233702150271,285.9096287431261,0,0
1342.212376438892,0,0.6026345827852422,260.06341393548223,1,0
13059.55411373656,1,0.8375030346954793,16.708914683664812,0,0
9216.167670276527,4,0.24295436182905067,470.12139981704115,1,1
10767.05237804266,2,0.33644199890817406,323.7772640628282,0,0
798.4751672891355,0,0.8806314690752918,50.35510982714916,1,1
14563.692856348918,1,0.39695438931881954,15.371324295789824,1,0
12570.418291606115,1,0.11804932060586211,30.13790142219191,0,0
3578.9171048350045,2,0.21811479410972706,306.65090289895915,1,0
3136.462024502959,3,0.12107096139884162,308.9376303728197,1,1
3159.3653928747904,3,0.8919385139365827,252.33530943181333,1,1
4911.512522913297,3,0.32309667919297846,156.84908122321102,0,0
8108.968258667449,1,0.8388342055489808,268.21265214924745,0,0
6763.202770310679,1,0.8967090206077727,260.56940133374763,1,1
4722.822532871608,1,0.5798729769144914,14.610702138899985,0,0
9371.866973474502,0,0.1265570520524494,144.82226901211152,1,0
2522.6609794546066,2,0.16527330430954157,31.326744026238995,0,0
4736.097403760663,1,0.4852712440863022,450.57660196658946,0,0
5812.246727758529,3,0.42493761032918875,363.98546557864205,1,1
7113.014771147021,2,0.5849418446254141,498.0770092454916,1,0
11885.051440198697,1,0.4510782477690912,154.5747753361175,1,0
3395.2698412962163,1,0.8472614794171875,439.8504946396706,1,0
7956.399356997368,2,0.5277917723308089,303.5118626265785,1,0
9090.011248499615,0,0.6549808491699538,229.29707641728444,1,0
1173.5309844399671,3,0.8171882181139972,115.17369008787438,1,1
9309.400352570856,1,0.21749750066656592,370.5041218166407,1,0
2972.599793465727,0,0.2837877232948228,452.5496707076285,1,0
1443.248098286553,0,0.18585492837921205,121.47765704730851,1,0
14258.840290173332,1,0.21171071938392982,91.81821581193822,1,0
14501.66447958111,0,0.5100671735473865,349.6298479274092,0,0
12221.761547688686,2,0.3569434071739712,488.601715549132,0,0
4916.899653013875,1,0.4385382716214039,376.2277750465186,0,0
1916.245653092566,0,0.8859918654352494,145.8674658285862,0,0
10421.378884426274,0,0.2253634782367585,212.8779349531539,0,0
6882.211159224219,1,0.5326496566384605,195.237229551894,1,0
2269.5544052492933,0,0.17909692404292077,426.7870339332875,1,0
7680.065196613417,2,0.3547970506111029,386.8285355417508,0,0
998.6335561706667,1,0.5220207389396789,296.54284020695246,1,0
13685.145830142339,2,0.8573053967722702,141.1047596464671,1,1
4252.309733200245,1,0.4129825770267864,469.3043212224178,1,0
10106.573123132739,0,0.15192535697173587,328.39103626072756,0,0
5019.810603296459,1,0.41052915836825354,485.3859399886823,1,1
8040.986307078257,6,0.2165929406991822,292.15793135580526,0,1
8427.299050477555,2,0.2839916906331562,411.490415389989,0,0
3180.3896051201423,1,0.5944724985319924,407.4871628002907,0,0
14558.9771025861,2,0.15393909296294536,171.9777445326281,1,0
11739.425938736162,3,0.4717790050000299,482.1902578638279,1,1
14122.734652680741,1,0.5875692688086115,15.861026460794175,0,1
13474.996581200909,3,0.4374867138939975,385.51189983987,0,0
9169.549692760735,0,0.1153010804989843,482.95075745320173,1,0
13867.176407835193,2,0.8884154855222923,172.75956062544282,1,1
1783.1412797528328,0,0.39369261387242827,325.8147409565311,0,0
3341.7515050776055,3,0.7228617495466135,283.30050867288423,1,1
1155.795689202802,2,0.3605171937499626,381.9461182898792,1,0
5217.289796067333,4,0.48001340559473504,433.7580712143009,0,1
6135.820700497489,1,0.4107709140887973,303.50706180327626,1,1
4434.56096072149,3,0.3740313836076862,408.87277025882116,0,0
12516.693882702975,0,0.117481101766223,159.58136006518131,1,0
5672.923237057044,2,0.38801675028360283,118.15059405888435,1,1
4573.55039046702,1,0.8115919923196241,218.1805063187559,0,0
8369.093205794603,1,0.652314670874947,340.4796167924877,1,0
2543.4012621340585,0,0.21633828727635188,97.68723972466819,1,0
12131.856220933576,1,0.5729240036981914,341.77433511518626,0,0
